Geography,Area,Area code,Year,theme,Nuisance: speeding traffic (%),Nuisance: aggressive behaviour in traffic (%),Nuisance: parking problems (%),Parking spots total,Parking spots fiscal,Parking spots non public,Parking facilities (1-10),Parking facilities bikes (1-10),Nuisance: parking (1-10),Public transport (1-10),Public transport 65+ (1-10),Nuisance: amount of traffic (1-10),Nuisance: traffic noise (1-10),Parking spots non-fiscal
Wijken,Elzenhagen,NG,2021,Traffic,16,7,21,1077,833,29,5.3,5.5,6.7,7.7,-,6.7,6.1,215
Wijken,Buikslotermeer,NH,2021,Traffic,14,10,13,5188,4184,185,7.1,5.4,7,7.8,7.5,7,6.5,819
Wijken,Waterlandpleinbuurt,NJ,2021,Traffic,23,13,23,5439,-,451,7,5.5,6.6,7.3,7.4,6.5,6.3,4988
Wijken,Volewijck,NK,2021,Traffic,22,17,16,3881,3602,149,6.9,5.9,6.9,7.2,6.8,6.5,6.6,130
Wijken,IJplein/Vogelbuurt,NL,2021,Traffic,25,14,17,3096,3010,86,7.2,5.5,7.1,7.5,7.3,7.1,6.9,-
Wijken,Tuindorp Nieuwendam,NN,2021,Traffic,23,7,26,1647,1,59,6.3,5.6,6,7.2,7.2,6.7,6.9,1587
Wijken,Waterland,NQ,2021,Traffic,26,13,28,1677,-,67,6.9,6.4,6.8,3.5,-,7.1,7.2,1610
Wijken,Driemond,SA,2021,Traffic,16,5,13,1133,-,2,6,6.5,5.8,2.6,-,7.2,6.8,1131
Wijken,Venserpolder,TB,2021,Traffic,9,6,4,3288,1407,1873,7.3,5.6,7.3,7.9,7.9,7.2,7,8
Wijken,Amsterdamse Poort e.o.,TC,2021,Traffic,14,13,29,1389,821,84,5.6,6.2,6.5,7.7,-,7.4,7.4,484
Wijken,H-buurt,TD,2021,Traffic,10,8,26,1464,1423,41,5.9,5.9,6.9,8,7.6,7,6.9,-
Wijken,Ganzenhoef e.o.,TE,2021,Traffic,9,6,41,2482,-,307,5.1,5.2,5,7.6,-,6.2,6.3,2175
Wijken,Geerdinkhof/Kantershof,TF,2021,Traffic,6,5,22,1626,-,37,7,6.4,7.5,7.7,7.6,7.9,7.8,1589
Wijken,Bijlmermuseum,TG,2021,Traffic,13,13,23,2296,1,165,6.5,6.2,6.4,7.7,8.2,6.6,6.7,2130
Wijken,K-buurt,TH,2021,Traffic,13,8,30,2531,4,17,6.6,5.9,6.6,7.5,7.4,7.2,7.3,2510
Wijken,Holendrecht,TJ,2021,Traffic,13,11,22,3639,-,515,6.7,5.9,6.9,7.7,7.6,7.4,7.2,3124
Wijken,Nellestein,TK,2021,Traffic,16,6,26,733,-,55,6.3,5.7,7.2,8,8,8.2,7.7,678
Wijken,Reigersbos,TL,2021,Traffic,6,3,15,3652,-,432,7.4,6,7.1,7.9,7.9,7.8,7.6,3220
Wijken,Gein,TM,2021,Traffic,6,4,12,5322,-,124,7.1,6.1,7.3,8,8,8.3,8.1,5198
Wijken,Sloterdijk-West,EA,2021,Traffic,-,-,-,1985,1929,56,-,-,-,-,-,-,-,-
Wijken,Centrale Markt,EG,2021,Traffic,-,-,-,785,715,70,6.6,5.6,7,7.5,-,7.1,6.5,-
Wijken,Vondelparkbuurt,EV,2021,Traffic,-,-,-,475,415,60,7.3,6,7.7,7.9,-,6.7,6.8,-
Wijken,Sloterdijk Nieuw-West,FA,2021,Traffic,-,-,-,4622,577,68,-,6.9,-,9.3,-,6.9,6.7,3977
Wijken,Lutkemeer/Ookmeer,FF,2021,Traffic,-,-,-,1426,-,5,-,-,-,-,-,-,-,1421
Wijken,Prinses Irenebuurt e.o.,KN,2021,Traffic,-,-,-,1162,1147,15,7.8,6.8,7.7,8.7,8.4,6.6,6,-
Wijken,IJburg-Oost,MK,2021,Traffic,-,-,-,144,142,2,-,-,-,-,-,-,-,-
Wijken,Nieuwendammerdijk/Buiksloterdijk,NF,2021,Traffic,-,-,-,636,383,9,7.2,6,7.2,7.5,-,7.8,8.2,244
Wijken,Tuindorp Buiksloot,NM,2021,Traffic,-,-,-,780,726,54,7,5.7,6.7,7.1,-,7.5,7.6,-
Wijken,Noordelijke IJ-oevers-Oost,NP,2021,Traffic,-,-,-,1225,1077,6,-,-,-,-,-,-,-,142
Wijken,Amstel III/Bullewijk,TA,2021,Traffic,-,-,-,1176,-,92,-,-,-,-,-,-,-,1084
